Filter [mikro m], Magnetfeld Max. normale Polung [grad], Magnetfeld Max. umgepolt [grad]
 1.06,  322.9334, 345.8334
 1.29,  326.5834, 342.0
 1.45,  327.2834, 339.1667
 1.72,  330.8334, 339.7667
 1.96,  337.9,    343.0334
 2.156, 339.6167, 344.6
 2.34,    4.0334,   8.4167
 2.510,  28.6667,  14.1
 2.65,  348.15,   358.2334
