Filter [mikro m], Magnetfeld Max. normale Polung [grad], Magnetfeld Max. umgepolt [grad]
1.06,  330.1667, 340.2
1.29,  330.6667, 340.0833
1.45,  330.35,   336.5
1.72,  332.45,   339.05
1.96,  337.9334, 343.5333
2.156, 338.8667, 345.7167
2.34,  1.7,      9.9167
2.510, 18.9667,  15.0167
2.65,  59.6334,   68.3834
