#Enddruck=7.1e-3, in hPa
# 1:Zeit,       pG=50       
0         50.0   49.9   49.9  
5         66.1   67.5   66.2  
10        74.9   76.2   75.0  
20        92.4   93.7   92.6  
30        110.0  111.3  110.1 
40        127.5  128.8  127.6 
50        145.0  146.3  145.1 
60        162.5  163.7  162.5 
70        180.0  181.3  180.1 
80        197.3  198.8  197.6 
90        214.2  215.5  214.2 
100       231.7  233.0  237.7 
110       251.1  250.6  251.1      
120       268.6  268.0  266.8      
130       286.1  287.5  286.1      
140       303.6  303.2  303.6      
150       321.1  320.7  319.4      
160       338.7  338.4  338.7      
170       356.2  355.8  356.2      
180       373.7  373.3  373.7      
190       391.1  390.7  391.0      
200       408.5  408.0  408.5      
