#Enddruck: 7.69e-6, in e-3hPa
#1:Zeit,        pG=5e-5,     
0       0.0677  0.0591   0.0513 
2       0.0948  0.0957   0.0991 
4       0.109   0.113    0.112  
6       0.128   0.126    0.128  
8       0.145   0.149    0.145  
10      0.166   0.171    0.168  
12      0.188   0.207    0.194  
14      0.206   0.230    0.207  
16      0.228   0.254    0.233  
18      0.245   0.280    0.248  
20      0.269   0.296    0.265  
22      0.280   0.307    0.282  
24      0.297   0.323    0.299  
26      0.305   0.341    0.312  
28      0.317   0.361    0.325  
30      0.335   0.377    0.345  
35      0.382   0.388    0.392  
40      0.427   0.429    0.429  
45      0.465   0.472    0.475  
50      0.514   0.515    0.520  
55      0.553   0.557    0.568  
60      0.605   0.610    0.613  
65      0.675   0.676    0.684  
70      0.738   0.738    0.748  
75      0.804   0.818    0.817  
80      0.886   0.891    0.907  
85      0.979   0.994    0.992  
90      1.06    1.06     1.06   
95      1.13    1.13     1.13   
100     1.19    1.20     1.21   
105     1.27    1.28     1.30   
110     1.37    1.37     1.38   
115     1.46    1.46     1.46   
120     1.53    1.54     1.54   
