#Enddruck: 7.69e-6, in e-3hPa
#1:Zeit,        pG=7e-5    
0        0.0698  0.0942  0.0723
2        0.118   0.119   0.117 
4        0.143   0.142   0.141 
6        0.177   0.177   0.177 
8        0.209   0.204   0.215 
10       0.234   0.236   0.232 
12       0.262   0.266   0.270 
14       0.288   0.295   0.292 
16       0.317   0.315   0.315 
18       0.343   0.333   0.333 
20       0.362   0.362   0.360 
22       0.387   0.389   0.388 
24       0.416   0.414   0.407 
26       0.437   0.439   0.442 
28       0.464   0.462   0.462 
30       0.491   0.499   0.499 
35       0.565   0.561   0.558 
40       0.638   0.636   0.623 
45       0.731   0.726   0.735 
50       0.853   0.841   0.837 
55       0.972   0.981   0.959 
60       1.10    1.10    1.10  
65       1.21    1.19    1.19  
70       1.32    1.33    1.31  
75       1.44    1.45    1.45  
80       1.58    1.57    1.57  
85       1.70    1.69    1.71  
90       1.85    1.85    1.82  
95       1.96    1.97    1.95  
100      2.11    2.14    2.13  
105      2.27    2.88    2.28  
110      2.46    2.49    2.46  
115      2.69    2.69    2.65  
120      2.84    2.86    2.84  
