#blau sigma
#I=0    I=4.5A
84.4    60.7
92.0    65.7
96.8    64.1
99.0    70.6
104.4   75.0
108.0   76.5
114.0   86.2
118.0   89.8
131.0   104.9
140.7   106.7
147.1   113.7
166.0   139.7
190.6   128.3
