# Polarisation [Grad] Max [Volt] Min [Volt]
0,  2.12, 1.80
5,  1.92, 1.53
10, 1.87, 1.23
15, 1.88, 0.95
20, 1.78, 0.69
25, 1.63, 0.51
30, 1.56, 0.43
35, 1.51, 0.31
40, 1.61, 0.25
45, 1.51, 0.20
50, 1.76, 0.18
55, 1.94, 0.17
60, 2.10, 0.20
65, 2.31, 0.26
70, 2.19, 0.41
75, 2.31, 0.56
80, 2.38, 0.88
85, 2.45, 1.22
90, 2.25, 1.62
95, 2.58, 1.77
100,3.27, 1.53
105,3.68, 1.32
110,4.13, 1.03
115,4.63, 0.70
120,5.28, 0.47
125,5.73, 0.35
130,6.07, 0.25
135,6.03, 0.26
140,5.96, 0.35
145,5.65, 0.61
150,5.71, 0.83
155,5.12, 1.01
160,4.69, 1.34
165,3.78, 1.55
170,3.29, 1.72
175,2.70, 1.85
180,2.15, 1.81
